COUNT,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,OID,area_km2
1,14,Jalisco,109,Unión de San Antonio,626,722.4915258579414
1,14,Jalisco,110,Unión de Tula,627,440.3770209399981
1,14,Jalisco,111,Valle de Guadalupe,628,348.47511912559946
1,14,Jalisco,112,Valle de Juárez,629,194.2739192140723
1,14,Jalisco,113,San Gabriel,630,742.4586265618028
1,14,Jalisco,114,Villa Corona,631,315.44812145766906
1,14,Jalisco,115,Villa Guerrero,632,666.3759659862576
1,14,Jalisco,116,Villa Hidalgo,633,447.44184244382683
1,14,Jalisco,117,Cañadas de Obregón,634,269.7292016282621
1,14,Jalisco,118,Yahualica de González Gallo,635,558.172445387859
1,14,Jalisco,119,Zacoalco de Torres,636,476.07118022411333
1,14,Jalisco,120,Zapopan,637,1144.1466621771917
1,14,Jalisco,121,Zapotiltic,638,251.2173037199173
1,14,Jalisco,122,Zapotitlán de Vadillo,639,303.93094576589635
1,14,Jalisco,123,Zapotlán del Rey,640,396.5233450602668
1,14,Jalisco,124,Zapotlanejo,641,713.320905621252
